drink_id,region_id,city_address
1007,6,강화군
1008,6,강화군
1009,6,강화군
1010,57,충주시
1011,57,충주시
1012,57,충주시
1013,57,충주시
1014,57,충주시
1015,57,충주시
1016,57,충주시
1017,57,충주시
1018,57,충주시
1019,102,남원시
1020,102,남원시
1021,102,남원시
1022,102,남원시
1023,9,춘천시
1024,9,춘천시
1025,9,춘천시
1026,9,춘천시
1027,9,춘천시
1028,9,춘천시
1029,9,춘천시
1030,29,양평군
1031,146,강릉시
1032,146,강릉시
1033,146,강릉시
1034,146,강릉시
1035,89,예천군
1036,89,예천군
1037,89,예천군
1038,89,예천군
1039,89,예천군
1040,89,예천군
1041,89,예천군
1042,89,예천군
1043,89,예천군
1044,6,강화군
1045,6,강화군
1046,15,순창군
1047,15,순창군
1048,15,순창군
1049,15,순창군
1050,15,순창군
1051,71,청도군
1052,71,청도군
1053,71,청도군
1054,147,장성군
1055,147,장성군
1056,147,장성군
1057,147,장성군
1058,147,장성군
1059,147,장성군
1060,147,장성군
1061,147,장성군
1062,147,장성군
1063,52,청양군
1064,96,고흥군
1065,19,제천시
1066,86,청주시
1067,62,철원군
1068,46,익산시
1069,58,파주시
1070,58,파주시
1071,58,파주시
1072,159,담양군
1073,159,담양군
1074,159,담양군
1075,159,담양군
1076,159,담양군
1077,159,담양군
1078,26,여주군
1079,26,여주군
1080,26,여주군
1081,26,여주군
1082,74,중구
1083,15,순창군
1084,15,순창군
1085,15,순창군
1086,15,순창군
1087,15,순창군
1088,152,영동군
1089,152,영동군
1090,152,영동군
1091,152,영동군
1092,145,전주시
1093,145,전주시
1094,145,전주시
1095,145,전주시
1096,145,전주시
1097,115,김포시
1098,115,김포시
1099,115,김포시
1100,115,김포시
1101,115,김포시
1102,115,김포시
1103,115,김포시
1104,7,영천시
1105,7,영천시
1106,7,영천시
1107,79,논산시
1108,79,논산시
1109,47,정읍시
1110,47,정읍시
1111,90,영도구
1112,57,충주시
1113,57,충주시
1114,57,충주시
1115,57,충주시
1116,57,충주시
1117,14,달성군
1118,10,제주시
1119,85,고창군
1120,50,홍성군
1121,50,홍성군
1122,115,김포시
1123,115,김포시
1124,115,김포시
1125,69,포천시
1126,69,포천시
1127,69,포천시
1128,69,포천시
1129,86,청주시
1130,86,청주시
1131,86,청주시
1132,86,청주시
1133,130,음성군
1134,77,하동군
1135,158,함양군
1136,158,함양군
1137,158,함양군
1138,158,함양군
1139,158,함양군
1140,158,함양군
1141,49,용인시
1142,49,용인시
1143,14,달성군
1144,72,성동구
1145,72,성동구
1146,72,성동구
1147,72,성동구
1148,99,공주시
1149,99,공주시
1150,47,정읍시
1151,39,의성군
1152,39,의성군
1153,39,의성군
1154,39,의성군
1155,39,의성군
1156,39,의성군
1157,39,의성군
1158,39,의성군
1159,39,의성군
1160,39,의성군
1161,39,의성군
1162,39,의성군
1163,39,의성군
1164,7,영천시
1165,7,영천시
1166,7,영천시
1167,7,영천시
1168,7,영천시
1169,7,영천시
1170,67,통영시
1171,45,서천군
1172,45,서천군
1173,45,서천군
1174,45,서천군
1175,45,서천군
1176,45,서천군
1177,45,서천군
1178,45,서천군
1179,45,서천군
1180,45,서천군
1181,45,서천군
1182,135,서초구
1183,135,서초구
1184,135,서초구
1185,47,정읍시
1186,47,정읍시
1187,64,안성시
1188,64,안성시
1189,64,안성시
1190,24,동두천시
1191,24,동두천시
1192,24,동두천시
1193,24,동두천시
1194,104,함평군
1195,11,해남군
1196,11,해남군
1197,11,해남군
1198,119,고양시
1199,119,고양시
1200,119,고양시
1201,72,성동구
1202,31,평창군
1203,156,순천시
1204,128,구리시
1205,128,구리시
1206,128,구리시
1207,18,여주시
1208,110,화천군
1209,110,화천군
1210,110,화천군
1211,110,화천군
1212,50,홍성군
1213,50,홍성군
1214,50,홍성군
1215,84,안동시
1216,94,은평구
1217,94,은평구
1218,132,평택시
1219,5,화성시
1220,5,화성시
1221,136,포항시
1222,49,용인시
1223,49,용인시
1224,10,제주시
1225,86,청주시
1226,128,구리시
1227,128,구리시
1228,18,여주시
1229,18,여주시
1230,89,예천군
