name,entry_name,source_url,graph_src,axes_json,sweetness,sourness,freshness,body,balance,season
불소곡주,불소곡주,https://terms.naver.com/entry.naver?docId=3595214&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522120402958_9AMO7QZ94.jpg/fe87_109_i7.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향기"", ""label_en"": ""aroma"", ""value"": 3}, {""label_ko"": ""맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}]",2,,,4,,가을
코아베스트 아카시아미드,코아베스트 아카시아미드,https://terms.naver.com/entry.naver?docId=6743406&cid=58637&categoryId=58651,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241211115731546_DSUXT9DS1.jpg/fe87_660_i5.jpg?type=w492_fst&wm=N,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 2}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 4}]",3,2,3,2,4,봄
무주구천동산머루주,무주 구천동 산머루주,https://terms.naver.com/entry.naver?docId=3595255&cid=58637&categoryId=58655,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522152152892_5XNCHG99L.jpg/fe87_150_i7.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 2}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",2,2,1,3,,가을
도깨비술 7,도깨비술 7%,https://terms.naver.com/entry.naver?docId=6040710&cid=58637&categoryId=58653,https://dbscthumb-phinf.pstatic.net/4776_000_3/20200824204807608_PBN8CTSAH.png/fe87_516_i11.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",3,3,4,3,,여름
계룡산 산삼주 금수강산 21%,계룡산 산삼주 금수강산 21%,https://terms.naver.com/entry.naver?docId=5681162&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013013557374_CYK8114PT.png/fe87_276_i11.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향"", ""label_en"": ""aroma"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 2}]",,,,2,,가을
남산애 레드와인,남산애 레드와인,https://terms.naver.com/entry.naver?docId=5804503&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726160720572_V0NMRVTUX.png/fe87_378_i12.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}]",3,3,3,2,,봄
진맥소주,진맥소주오크,https://terms.naver.com/entry.naver?docId=6743405&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241210175512048_PIDR9D684.jpg/fe87_650_i7.jpg?type=w492_fst&wm=N,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 3}]",3,1,1,4,3,겨울
일지춘 10,일지춘10,https://terms.naver.com/entry.naver?docId=6743423&cid=58637&categoryId=58652,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241211190416640_3DJ3S07MG.jpg/fe87_692_i5.jpg?type=w492_fst&wm=N,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 3}]",2,4,1,4,3,가을
병영설성사또,병영설성사또,https://terms.naver.com/entry.naver?docId=5804481&cid=58637&categoryId=58656,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726152804633_JUTSJGR78.png/fe87_364_i11.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향"", ""label_en"": ""aroma"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 3}]",,,,3,,가을
딸링,딸링,https://terms.naver.com/entry.naver?docId=6743375&cid=58637&categoryId=58656,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241210164748343_SZUAHO3NK.jpg/fe87_640_i5.jpg?type=w492_fst&wm=N,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 3}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 2}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 3}]",2,3,4,2,3,여름
